Accession	Description	markers	tagm.map.allocation	tagm.map.probability	tagm.map.joint.19S.proteasome	tagm.map.joint.20S.proteasome	tagm.map.joint.40S.ribosome	tagm.map.joint.60S.ribosome	tagm.map.joint.apical.1	tagm.map.joint.apical.2	tagm.map.joint.apicoplast	tagm.map.joint.cytosol	tagm.map.joint.dense.granules	tagm.map.joint.endomembrane.vesicles	tagm.map.joint.ER	tagm.map.joint.ER.2	tagm.map.joint.Golgi	tagm.map.joint.IMC	tagm.map.joint.micronemes	tagm.map.joint.mitochondrion...membranes	tagm.map.joint.mitochondrion...soluble	tagm.map.joint.nucleolus	tagm.map.joint.nucleus...chromatin	tagm.map.joint.nucleus...non.chromatin	tagm.map.joint.PM...integral	tagm.map.joint.PM...peripheral.1	tagm.map.joint.PM...peripheral.2	tagm.map.joint.rhoptries.1	tagm.map.joint.rhoptries.2	tagm.map.joint.tubulin.cytoskeleton	tagm.map.outlier	tagm.map.loc.prob	tagm.map.allocation.pred	tagm.mcmc.allocation	tagm.mcmc.probability	tagm.mcmc.probability.lowerquantile	tagm.mcmc.probability.upperquantile	tagm.mcmc.mean.shannon	tagm.mcmc.outlier	tagm.mcmc.joint.19S.proteasome	tagm.mcmc.joint.20S.proteasome	tagm.mcmc.joint.40S.ribosome	tagm.mcmc.joint.60S.ribosome	tagm.mcmc.joint.apical.1	tagm.mcmc.joint.apical.2	tagm.mcmc.joint.apicoplast	tagm.mcmc.joint.cytosol	tagm.mcmc.joint.dense.granules	tagm.mcmc.joint.endomembrane.vesicles	tagm.mcmc.joint.ER	tagm.mcmc.joint.ER.2	tagm.mcmc.joint.Golgi	tagm.mcmc.joint.IMC	tagm.mcmc.joint.micronemes	tagm.mcmc.joint.mitochondrion...membranes	tagm.mcmc.joint.mitochondrion...soluble	tagm.mcmc.joint.nucleolus	tagm.mcmc.joint.nucleus...chromatin	tagm.mcmc.joint.nucleus...non.chromatin	tagm.mcmc.joint.PM...integral	tagm.mcmc.joint.PM...peripheral.1	tagm.mcmc.joint.PM...peripheral.2	tagm.mcmc.joint.rhoptries.1	tagm.mcmc.joint.rhoptries.2	tagm.mcmc.joint.tubulin.cytoskeleton	tagm.mcmc.loc.prob	tagm.mcmc.allocation.pred
TGME49_292020	GCC2 and GCC3 domain-containing protein	unknown	micronemes	8.390996e-23	0.005746033	0.004732033	0.009458343	0.01318043	0.01588611	0.005408038	0.04361959	0.159177	0.04250335	0.008788445	0.07604915	0.004056043	0.03454412	0.02770808	0.01724012	0.06418834	0.07065543	0.01045728	0.160695	0.1207751	0.03921936	0.01655806	0.01048378	0.01926674	0.01656206	0.003042021	1	0	unknown	micronemes	1	1	1	1.198628e-09	7.804264e-10	2.786821e-45	1.269114e-41	1.134367e-38	6.84092e-40	4.678377e-27	2.401585e-30	3.403448e-20	1.130294e-84	2.201273e-17	1.311389e-15	2.257586e-26	1.219682e-13	5.636817e-18	3.097285e-25	1	1.536385e-77	1.017994e-70	1.187373e-22	1.04132e-65	1.676007e-94	7.14461e-13	7.082384e-20	6.208234e-11	4.420932e-20	3.131001e-17	2.392604e-35	1	micronemes
TGME49_306060	rhoptry neck protein RON8	rhoptries 1	rhoptries 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	rhoptries 1	rhoptries 1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	rhoptries 1
TGME49_253750	PLU-1 family protein	unknown	nucleus - chromatin	0.9999978	1.278705e-08	1.053053e-08	2.104831e-08	2.933134e-08	3.535248e-08	1.203489e-08	9.706972e-08	3.542277e-07	9.458569e-08	1.955754e-08	1.692375e-07	9.026196e-09	7.687345e-08	6.166073e-08	3.836565e-08	1.428428e-07	1.572345e-07	2.327131e-08	0.9999981	2.687693e-07	8.727759e-08	3.684781e-08	2.333029e-08	4.287564e-08	3.685671e-08	6.769624e-09	2.22537e-06	0.9999955	nucleus - chromatin	nucleus - chromatin	1	1	1	2.681141e-07	4.882e-08	6.772751e-25	5.173821e-37	5.297244e-22	1.491179e-22	7.591989e-24	2.633583e-12	1.837547e-56	1.111836e-45	3.252228e-13	8.572826e-22	5.544814e-44	2.635641e-28	2.491824e-41	3.512014e-48	7.733063e-48	2.485206e-55	8.370395e-30	1.408664e-08	1	6.350578e-12	3.90922e-26	1.42902e-54	1.32561e-12	3.920578e-24	5.507677e-37	1.969454e-22	0.9999999	nucleus - chromatin
TGME49_264660	SAG-related sequence SRS44	unknown	dense granules	2.70007e-09	0.005746033	0.004732033	0.009458343	0.01318043	0.01588611	0.005408038	0.04361958	0.159177	0.04250335	0.008788445	0.07604915	0.004056043	0.03454412	0.02770808	0.01724012	0.06418834	0.07065543	0.01045728	0.160695	0.1207751	0.03921936	0.01655806	0.01048378	0.01926674	0.01656206	0.003042021	1	7.29038e-18	unknown	dense granules	0.9999855	0.9999364	0.9999989	0.0001677842	1.481262e-05	7.008612e-34	4.291171e-30	1.204309e-19	1.845495e-21	9.612169e-14	2.168289e-12	1.978666e-25	6.202369e-79	0.9999855	1.170398e-13	1.078046e-34	1.460369e-11	1.966599e-26	4.284369e-32	2.631178e-26	2.708269e-50	7.914308e-32	1.442242e-05	8.876532e-23	5.57991e-45	7.784777e-16	2.292097e-32	5.389062e-08	9.679928e-10	1.866893e-20	6.04482e-18	0.9999707	dense granules
TGME49_311720	chaperonin protein BiP	ER 2	ER 2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ER 2	ER 2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ER 2
TGME49_294800	elongation factor 1-alpha (EF-1-ALPHA), putative	unknown	nucleus - non-chromatin	0.2367364	0.004385676	0.003611738	0.007219107	0.01006	0.01212512	0.004127701	0.03329277	0.1214923	0.03244081	0.006707806	0.05804473	0.003095786	0.0263659	0.02114827	0.01315857	0.04899193	0.05392796	0.007981547	0.1226616	0.3289184	0.02993429	0.01263799	0.008001776	0.0147054	0.01264104	0.002321832	0.7632529	0.05604667	unknown	nucleus - non-chromatin	0.9991007	0.9954261	0.9999597	0.005979165	0.01759994	2.921044e-12	9.196737e-31	5.930481e-08	3.064093e-09	1.669051e-43	5.008075e-17	2.290485e-63	4.961357e-13	1.86449e-34	9.752508e-19	1.563725e-97	1.312089e-33	4.759626e-54	1.137867e-58	8.028121e-58	3.401802e-110	2.455521e-77	2.432245e-07	0.0008990303	0.9991007	8.682781e-33	5.067067e-58	2.112923e-15	2.863801e-46	3.316304e-50	1.12121e-22	0.9815166	unknown
TGME49_269885	rhoptry metalloprotease toxolysin TLN1	rhoptries 2	rhoptries 2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	rhoptries 2	rhoptries 2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	rhoptries 2
TGME49_244560	heat shock protein 90, putative	ER 2	ER 2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ER 2	ER 2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ER 2
TGME49_266960	beta tubulin	tubulin cytoskeleton	tubulin cytoskeleton	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	tubulin cytoskeleton	tubulin cytoskeleton	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	tubulin cytoskeleton
TGME49_298610	GYF domain-containing protein	unknown	nucleus - chromatin	0.9999996	2.41794e-09	1.991247e-09	3.980085e-09	5.546347e-09	6.6849e-09	2.275711e-09	1.835519e-08	6.698191e-08	1.788548e-08	3.698191e-09	3.20016e-08	1.706789e-09	1.453622e-08	1.16596e-08	7.25467e-09	2.701055e-08	2.973192e-08	4.400438e-09	0.9999996	5.139036e-08	1.650357e-08	6.967657e-09	4.411591e-09	8.107476e-09	6.96934e-09	1.280087e-09	4.208015e-07	0.9999992	nucleus - chromatin	nucleus - chromatin	1	1	1	6.519519e-08	3.744224e-09	4.008327e-10	1.649032e-32	2.07732e-15	4.218508e-22	6.338484e-41	9.309128e-21	8.454464e-81	1.022859e-24	2.294369e-33	9.84281e-21	6.971138e-96	1.733251e-35	8.252059e-54	6.209412e-59	1.474646e-60	5.983373e-89	5.669558e-54	2.345784e-09	1	3.498369e-10	6.147602e-32	3.048566e-60	1.71384e-14	1.379041e-42	1.267673e-50	3.009482e-23	1	nucleus - chromatin
